nome,valor,marca,categoria,loc,ano,km_rodados
RENAULT LOGAN,32990,RENAULT,Sedan,SP,2014,67658.0
VOLKSWAGEN GOLF,64990,VOLKSWAGEN,Hatch,SP,2015,67534.0
FIAT GRAND SIENA,48890,FIAT,Hatch,SP,2019,0.0
RENAULT SANDERO,29900,RENAULT,Hatch,SP,2012,85700.0
VOLKSWAGEN FOX,41990,VOLKSWAGEN,Hatch,SP,2017,61538.0
NISSAN SENTRA,46990,NISSAN,Sedan,SP,2014,72961.0
KIA SOUL,58999,KIA,Hatch,SP,2015,31000.0
TOYOTA PRIUS,87900,TOYOTA,Hatch,SP,2017,19000.0
PEUGEOT 207,21900,PEUGEOT,Sedan,SP,2012,108000.0
FORD RANGER,70890,FORD,Hatch,SP,2014,32718.0
FIAT CRONOS,69990,FIAT,Hatch,SP,2020,0.0
DODGE JOURNEY,60990,DODGE,Utilitário,SP,2013,76538.0
VOLKSWAGEN JETTA,56990,VOLKSWAGEN,Sedan,SP,2013,94301.0
MITSUBISHI OUTLANDER,56990,MITSUBISHI,Hatch,SP,2014,154122.0
VOLKSWAGEN FOX,33990,VOLKSWAGEN,Hatch,SP,2014,90130.0
FIAT SIENA,29990,FIAT,Hatch,SP,2015,111753.0
TOYOTA COROLLA,59990,TOYOTA,Sedan,SP,2013,80177.0
CITROEN AIRCROSS,32990,CITROEN,Hatch,SP,2012,59708.0
VOLKSWAGEN TIGUAN ALLSPACE,142990,VOLKSWAGEN,Hatch,SP,2019,0.0
FORD KA,34990,FORD,Hatch,SP,2014,46882.0
NISSAN KICKS,72990,NISSAN,Hatch,SP,2018,18000.0
HYUNDAI HB20X,49790,HYUNDAI,Hatch,SP,2016,40800.0
FORD FOCUS,31990,FORD,Hatch,SP,2012,90562.0
FIAT ARGO,69390,FIAT,Hatch,SP,2019,0.0
FIAT ARGO,69990,FIAT,Hatch,SP,2019,0.0
FIAT ARGO,37890,FIAT,Hatch,SP,2019,10000.0
VOLKSWAGEN POLO,76590,VOLKSWAGEN,Hatch,SP,2019,0.0
CITROEN C3,27590,CITROEN,Hatch,SP,2012,150000.0
FIAT FREEMONT,53790,FIAT,Hatch,SP,2014,140000.0
FIAT 500,29490,FIAT,Hatch,SP,2012,50000.0
CITROEN C4 LOUNGE,37990,CITROEN,Hatch,SP,2015,102000.0
FORD KA,43390,FORD,Hatch,SP,2019,0.0
AUDI A1,45990,AUDI,Hatch,SP,2011,70000.0
FORD ECOSPORT,55900,FORD,SUV,SP,2017,12000.0
FIAT TORO,90790,FIAT,Hatch,SP,2019,0.0
FIAT TORO,125990,FIAT,Hatch,SP,2020,0.0
FIAT MOBI,38790,FIAT,Hatch,SP,2019,0.0
FIAT TORO,91790,FIAT,Hatch,SP,2019,0.0
